date,precipitation,Air_temp_mean,air_temp_max,Air_Temp_Min,Air_Pressure,RH,AH ,Wind_Speed_Mean ,Wind_Direction_Mean ,Solar_Radiation,PAR,soil_temp_5_cm_bare_avg,soil_temp_5_cm_sod_avg,Year,,,,
17.04.17,0,13.5,20.1,4.6,987,45.47,0.66,2.67,303,267.53,349.63,16,10.3,2017,,,,
16.04.17,1,17.4,20.3,11,979,67.41,1.31,4.82,249.4,130.4,175.67,16.3,11.2,2017,,,,
15.04.17,0,19.2,26.9,11.1,982,57.01,1.21,5.94,193,237.49,310.41,18.6,10.2,2017,,,,
14.04.17,0,11.6,19.1,5.1,991,55.38,0.73,4.2,97.6,201.47,261.83,11.5,7.7,2017,,,,
13.04.17,0,9.1,12.4,6,994,67.24,0.77,3.08,77.2,69.54,96.24,9.2,7.3,2017,,,,
12.04.17,0,8.3,14.7,3.4,993,65.86,0.67,2.71,292.6,260.82,336.07,12.1,7.8,2017,,,,
11.04.17,0,8.6,14.7,6,986,89.29,1.01,3.01,262,69.75,94.47,10.6,8.3,2017,,,,
10.04.17,5,18.1,22.6,13.6,977,67,1.38,4.91,196.5,133.34,180.25,16,9.2,2017,,,,
09.04.17,0,16.2,23,9.4,977,47.76,0.91,5.62,186,194.63,254.29,13.3,6.7,2017,,,,
08.04.17,0,7.5,16.6,-3.2,982,53.96,0.49,2.9,218.4,269.14,333.84,9.1,4,2017,,,,
07.04.17,1,4.4,10.5,0.3,980,60.78,0.47,4.52,305.1,271.77,340.55,6.7,3.3,2017,,,,
06.04.17,34,2,4.4,0.2,970,92.23,0.64,5.59,347.2,90.82,136.88,1.7,2.8,2017,,,,
05.04.17,5,4.3,7.1,-0.4,977,90.24,0.74,3.56,43.4,29.16,44.65,4.5,4.1,2017,,,,
04.04.17,6,7.7,12.9,1.6,968,92.77,0.97,4.06,256.2,57.61,79.34,8.3,5.6,2017,,,,
03.04.17,9,9.1,10.8,7.4,971,80.6,0.92,3.29,92.4,26.23,40.59,8,5.1,2017,,,,
02.04.17,0,7,13.9,-1.5,987,63.33,0.61,1.93,209.4,125.37,163.33,7.9,4.3,2017,,,,
01.04.17,0,6.5,14.3,-0.2,987,65.21,0.57,2.44,323.1,249.73,315.27,9.1,4.4,2017,,,,
31.03.17,0,2.8,3.9,2,974,95.48,0.7,4.36,29.8,42.39,60.63,4.3,3.5,2017,,,,
30.03.17,30,4.3,5.2,3.2,979,91.56,0.75,5.57,81.6,30.23,45.57,4.8,4,2017,,,,
29.03.17,2,6.1,12.8,-0.1,990,71.56,0.63,3.18,66.7,168.2,212.92,6.7,4.2,2017,,,,
28.03.17,0,6.4,9.1,0,984,87.7,0.83,2.4,23.2,68.33,89.42,7.6,5.2,2017,,,,
27.03.17,1,9.7,11.5,6.6,980,93.07,1.1,2.51,266.6,70.75,94.26,10.9,5.8,2017,,,,
26.03.17,8,8.1,12.9,4.7,981,95.87,1.03,3.42,119.4,53.04,73.77,8.5,4.5,2017,,,,
25.03.17,12,5.7,7.2,3.6,986,94.94,0.86,4.85,69.7,38.61,57.27,6.8,4.4,2017,,,,
24.03.17,17,14.3,25.4,4.1,981,61.42,0.95,4.84,207.9,172.25,228.07,11.9,3.9,2017,,,,
23.03.17,3,1.3,9.1,-5.1,994,47.79,0.29,4.09,136.4,191.76,246.6,3,0.4,2017,,,,
22.03.17,0,-2.5,5,-8.4,998,50.42,0.24,2.94,33.3,235.99,291.95,2.5,0.6,2017,,,,
21.03.17,0,4.3,11,-3.7,986,69.44,0.54,3.37,299.1,204.68,257.41,5.6,1.8,2017,,,,
20.03.17,2,5.4,9.7,1.6,984,86.12,0.77,2.77,189.2,80.67,109.2,6,1.2,2017,,,,
19.03.17,0,3.4,8.8,0.8,992,79.97,0.6,2.38,342.2,158.71,201.91,5,-0.3,2017,,,,
18.03.17,2,2.1,3.6,1.1,984,95.5,0.67,3.42,282,33.59,47.65,0.6,-1.2,2017,,,,
17.03.17,4,-1.4,1.3,-5.2,985,85.9,0.48,2.84,146.5,24.89,40.59,-0.7,-1.2,2017,,,,
16.03.17,0,-1.7,4.5,-8.6,990,61.93,0.31,2.63,271,212.62,276.09,0.1,-1.2,2017,,,,
15.03.17,0,-6.4,-1.1,-10.9,989,67.2,0.25,4.3,305.9,166.94,226.42,-0.9,-1.1,2017,,,,
14.03.17,0,-7.6,-3.5,-11.1,989,68.68,0.22,3.67,8,176.52,230.34,-0.8,-0.9,2017,,,,
13.03.17,6,-4.7,-2.5,-8.5,990,84.89,0.35,3.42,88.1,84.85,121.54,-0.9,-0.9,2017,,,,
12.03.17,0,-6,1,-13.1,995,61.71,0.22,1.37,356.4,166.72,218.49,-0.7,-0.6,2017,,,,
11.03.17,0,-7.1,-3,-9.5,995,58.51,0.2,4.15,302.7,178.69,231.9,-1.4,NaN,2017,,,,
10.03.17,0,-4.7,-1.1,-8.9,990,51.79,0.22,5.17,318,172.92,223.19,-0.3,NaN,2017,,,,
09.03.17,0,1.9,4.7,-1.2,986,50.13,0.34,3.63,293.5,102.38,139.41,2.7,2.5,2017,,,,
