out,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU16321,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16325,,,,,,,
OTU16323,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16328,k:Archaea,p:Woesearchaeota_[DHVEG-6],,,,,
OTU16327,k:Bacteria,,,,,,
OTU16326,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:NKB5,,,
OTU16324,k:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,,
OTU16330,k:Bacteria,p:Gracilibacteria,,,,,
OTU16322,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,,
OTU16329,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:RB41,,
OTU16331,k:Bacteria,p:Parcubacteria,,,,,
OTU16335,k:Bacteria,,,,,,
OTU16333,k:Bacteria,,,,,,
OTU16334,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Bryobacter,
OTU16336,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,,,,
OTU16338,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillales_Incertae_Sedis,g:Candidatus_Alysiosphaera,
OTU16332,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU16339,k:Bacteria,p:Parcubacteria,,,,,
OTU16337,k:Bacteria,p:Parcubacteria,,,,,
OTU16342,k:Bacteria,p:Microgenomates,,,,,
OTU16343,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,f:Oligoflexaceae,,
OTU16341,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,
OTU16346,k:Bacteria,,,,,,
OTU16340,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,f:Patulibacteraceae,g:Patulibacter,
OTU16344,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,
OTU16348,k:Bacteria,p:Parcubacteria,,,,,
OTU16345,k:Bacteria,p:Verrucomicrobia,c:Verrucomicrobia_Incertae_Sedis,o:Unknown_Order,f:Unknown_Family,g:Candidatus_Methylacidiphilum,
OTU16349,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU16350,k:Bacteria,p:TM6,,,,,
OTU16352,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,g:Cunninghamia_lanceolata,
OTU16351,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:WD2101_soil_group,,,
OTU16347,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:NKB5,,,
OTU16353,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU16354,k:Bacteria,p:WCHB1-60,,,,,
OTU16359,k:Bacteria,p:Proteobacteria,,,,,
OTU16356,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Stenotrophomonas,
OTU16357,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales,f:CHAB-XI-27,,
OTU16362,k:Bacteria,p:Cyanobacteria,c:Chloroplast,,,,
OTU16360,k:Bacteria,p:Parcubacteria,,,,,
OTU16355,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU16365,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU16361,k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Leuconostocaceae,g:Weissella,
OTU16358,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:KD3-10,,
OTU16366,k:Bacteria,,,,,,
OTU16364,k:Bacteria,p:Chloroflexi,c:Ktedonobacteria,o:Thermogemmatisporales,f:1921-2,,
OTU16363,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU16372,k:Bacteria,,,,,,
OTU16369,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:NS11-12_marine_group,,
OTU16368,k:Bacteria,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,,,
OTU16373,k:Bacteria,,,,,,
OTU16370,k:Bacteria,p:Parcubacteria,,,,,
OTU16367,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,
OTU16374,k:Bacteria,p:Parcubacteria,,,,,
OTU16375,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU16376,k:Bacteria,p:Parcubacteria,,,,,
OTU16379,k:Bacteria,,,,,,
OTU16371,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,,
OTU16378,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:NKB5,,,
OTU16377,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU16380,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU16384,k:Bacteria,p:Saccharibacteria,,,,,
OTU16382,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU16381,k:Bacteria,p:Cyanobacteria,c:Cyanobacteria,o:SubsectionIII,f:FamilyI,g:Leptolyngbya,
OTU16383,k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae_1,g:Fonticella,
OTU16386,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Sandaracinaceae,,
OTU16388,k:Bacteria,,,,,,
OTU16387,k:Bacteria,p:Saccharibacteria,,,,,
OTU16385,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU16389,k:Bacteria,p:Verrucomicrobia,c:Verrucomicrobia_Incertae_Sedis,o:Unknown_Order,f:Unknown_Family,g:Candidatus_Methylacidiphilum,
OTU16391,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16390,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU16392,k:Bacteria,p:Saccharibacteria,,,,,
OTU16395,k:Bacteria,,,,,,
OTU16393,k:Bacteria,p:Parcubacteria,,,,,
OTU16394,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16398,k:Bacteria,,,,,,
OTU16399,k:Bacteria,p:Planctomycetes,c:OM190,,,,
OTU16397,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales,f:EV818SWSAP88,,
OTU16401,k:Bacteria,p:Parcubacteria,,,,,
OTU16402,k:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:Lineage_IV,,,
OTU16400,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU16403,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU16396,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU16404,k:Bacteria,,,,,,
OTU16406,k:Bacteria,p:Parcubacteria,,,,,
OTU16405,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:Parachlamydiaceae,,
OTU16409,k:Bacteria,p:Armatimonadetes,c:Armatimonadia,o:Armatimonadales,,,
OTU16412,k:Bacteria,,,,,,
OTU16408,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,,,
OTU16414,k:Bacteria,p:Parcubacteria,,,,,
OTU16407,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Coxiella,
OTU16413,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU16416,k:Archaea,p:Woesearchaeota_[DHVEG-6],,,,,
OTU16415,k:Bacteria,p:Parcubacteria,,,,,
OTU16411,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,f:Oligoflexaceae,,
OTU16410,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU16417,k:Bacteria,p:Parcubacteria,,,,,
OTU16418,k:Archaea,p:Woesearchaeota_[DHVEG-6],,,,,
OTU16422,k:Bacteria,p:Parcubacteria,,,,,
OTU16420,k:Bacteria,p:Chloroflexi,,,,,
OTU16419,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae,g:SM1A02,
OTU16421,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16426,k:Bacteria,p:Proteobacteria,,,,,
OTU16425,k:Bacteria,p:Nitrospirae,c:Nitrospira,o:Nitrospirales,f:0319-6A21,,
OTU16429,k:Bacteria,,,,,,
OTU16428,k:Bacteria,p:Spirochaetae,c:Spirochaetes,o:Spirochaetales,f:Spirochaetaceae,,
OTU16424,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,,
OTU16427,k:Bacteria,p:Planctomycetes,c:Pla4_lineage,,,,
OTU16430,k:Bacteria,,,,,,
OTU16423,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU16431,k:Bacteria,p:Parcubacteria,,,,,
OTU16432,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:LWSR-14,,
OTU16439,k:Bacteria,,,,,,
OTU16433,k:Bacteria,p:Parcubacteria,,,,,
OTU16436,k:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Acidimicrobiales,f:Iamiaceae,g:Iamia,
OTU16434,k:Bacteria,,,,,,
OTU16438,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU16435,k:Bacteria,p:Proteobacteria,,,,,
OTU16444,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU16437,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Thermoactinomycetaceae,g:Shimazuella,s:Thermoactinomycetaceae_bacterium_NEAU-gxj18
OTU16440,k:Bacteria,p:Omnitrophica,c:NPL-UPA2,,,,
OTU16441,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU16443,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU16442,k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Asteroleplasma,
OTU16447,k:Bacteria,p:SM2F11,,,,,
OTU16451,k:Bacteria,,,,,,
OTU16450,k:Bacteria,p:Microgenomates,,,,,
OTU16449,k:Bacteria,p:Cyanobacteria,c:ML635J-21,,,,
OTU16448,k:Bacteria,p:Armatimonadetes,,,,,
OTU16445,k:Bacteria,p:Proteobacteria,,,,,
OTU16453,k:Bacteria,p:TM6,,,,,
OTU16446,k:Bacteria,p:Actinobacteria,c:Actinobacteria,,,,
OTU16452,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,,,,
OTU16456,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bacteriovoracaceae,,
OTU16455,k:Bacteria,p:Chloroflexi,c:Chloroflexia,o:Kallotenuales,f:AKIW781,,
OTU16454,k:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Acidimicrobiales,,,
OTU16457,k:Bacteria,p:TM6,,,,,
OTU16458,k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Asteroleplasma,
OTU16459,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU16463,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,,
OTU16462,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:SM2D12,,
OTU16464,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Propionibacteriales,f:Nocardioidaceae,g:Nocardioides,s:Nocardioides_sp._JC2947
OTU16461,k:Bacteria,p:TM6,,,,,
OTU16460,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,,,,
OTU16467,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Singulisphaera,
OTU16465,k:Bacteria,p:WD272,,,,,
OTU16470,k:Archaea,p:Woesearchaeota_[DHVEG-6],,,,,
OTU16468,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:Chthoniobacteraceae,g:Chthoniobacter,
OTU16471,k:Bacteria,,,,,,
OTU16466,k:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Acidimicrobiales,,,
OTU16469,k:Bacteria,p:Proteobacteria,,,,,
OTU16474,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU16472,k:Bacteria,,,,,,
OTU16475,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:DB1-14,,,
OTU16473,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU16476,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Hymenobacter,
OTU16478,k:Bacteria,p:Parcubacteria,,,,,
OTU16479,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU16477,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU16481,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU16482,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU16483,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:KD3-10,,
OTU16480,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales,f:Nocardiaceae,g:Nocardia,
OTU16484,k:Bacteria,p:Proteobacteria,c:TA18,,,,
OTU16486,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU16485,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,
OTU16489,k:Bacteria,p:Latescibacteria,,,,,
OTU16491,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:DA101_soil_group,,
OTU16487,k:Bacteria,p:Chloroflexi,c:Ktedonobacteria,o:Ktedonobacterales,f:Ktedonobacteraceae,,
OTU16490,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU16492,k:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,,
OTU16488,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:Chlamydiaceae,,
OTU16493,k:Bacteria,p:Planctomycetes,c:Pla4_lineage,,,,
OTU16494,k:Bacteria,,,,,,
OTU16498,k:Bacteria,p:Parcubacteria,,,,,
OTU16499,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Planctomyces,
OTU16495,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU16501,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU16496,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:NKB5,,,
OTU16497,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,,,
OTU16500,k:Bacteria,,,,,,
OTU16506,k:Bacteria,,,,,,
OTU16504,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,
OTU16503,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_6,f:unidentified,,
OTU16502,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU16505,k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Tyzzerella_3,
OTU16511,k:Bacteria,,,,,,
OTU16507,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Phaselicystidaceae,g:Phaselicystis,
OTU16510,k:Bacteria,p:Gracilibacteria,,,,,
OTU16512,k:Bacteria,,,,,,
OTU16508,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Pasteuriaceae,g:Pasteuria,s:Pasteuria_penetrans
OTU16509,k:Bacteria,p:TM6,,,,,
OTU16514,k:Bacteria,p:Parcubacteria,,,,,
OTU16515,k:Bacteria,p:Actinobacteria,c:MB-A2-108,,,,
OTU16513,k:Bacteria,p:WCHB1-60,,,,,
OTU16517,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU16518,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,
OTU16519,k:Bacteria,p:Parcubacteria,,,,,
OTU16516,k:Bacteria,p:Armatimonadetes,,,,,
OTU16521,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,
OTU16525,k:Bacteria,,,,,,
OTU16522,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,f:0319-6M6,,
OTU16520,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:RB41,,
OTU16523,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:WD2101_soil_group,,,
OTU16524,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Endobacter,s:Acetobacteraceae_bacterium_PAMC26568
OTU16526,k:Bacteria,p:Parcubacteria,,,,,
OTU16528,k:Bacteria,,,,,,
OTU16527,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:NS11-12_marine_group,,
OTU16530,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,,,,
OTU16529,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:DA111,,
OTU16535,k:Bacteria,,,,,,
OTU16531,k:Bacteria,p:TM6,,,,,
OTU16533,k:Bacteria,p:Chloroflexi,c:Ktedonobacteria,o:C0119,,,
OTU16536,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16537,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16532,k:Bacteria,p:Cyanobacteria,c:Melainabacteria,o:Caenarcaniphilales,,,
OTU16534,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,,
OTU16539,k:Bacteria,p:Cyanobacteria,c:Chloroplast,,,,
OTU16538,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,,,
OTU16541,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales,,,
OTU16543,k:Bacteria,p:Chloroflexi,c:TK10,,,,
OTU16547,k:Bacteria,,,,,,
OTU16544,k:Bacteria,p:Parcubacteria,,,,,
OTU16542,k:Bacteria,p:TM6,,,,,
OTU16545,k:Bacteria,,,,,,
OTU16546,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:Chthoniobacteraceae,g:Chthoniobacter,
OTU16548,k:Bacteria,,,,,,
OTU16540,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,,,
OTU16549,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,,
OTU16550,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:UASB-TL25,,
OTU16552,k:Bacteria,p:SM2F11,,,,,
OTU16554,k:Bacteria,p:Cyanobacteria,c:Melainabacteria,o:Gastranaerophilales,,,
OTU16555,k:Bacteria,p:Bacteroidetes,,,,,
OTU16551,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU16557,k:Bacteria,,,,,,
OTU16553,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Alteromonadales,f:Celerinatantimonadaceae,g:Celerinatantimonas,
OTU16556,k:Bacteria,p:Fibrobacteres,c:Fibrobacteria,o:Fibrobacterales,f:Fibrobacteraceae,,
OTU16562,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU16559,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16560,k:Bacteria,p:Proteobacteria,,,,,
OTU16558,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU16561,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,,,,
OTU16563,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales,f:Thiotrichaceae,g:Beggiatoa,s:gamma_proteobacterium_WY8
OTU16564,k:Bacteria,p:Parcubacteria,,,,,
OTU16565,k:Bacteria,p:Cyanobacteria,c:Chloroplast,,,,
OTU16569,k:Bacteria,p:SM2F11,,,,,
OTU16568,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,,,
OTU16567,k:Bacteria,,,,,,
OTU16566,k:Bacteria,,,,,,
OTU16570,k:Bacteria,p:Parcubacteria,,,,,
OTU16571,k:Bacteria,p:Chloroflexi,,,,,
OTU16574,k:Bacteria,,,,,,
OTU16576,k:Bacteria,,,,,,
OTU16572,k:Bacteria,p:Parcubacteria,,,,,
OTU16577,k:Bacteria,,,,,,
OTU16575,k:Bacteria,,,,,,
OTU16573,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,,,,
OTU16581,k:Bacteria,,,,,,
OTU16580,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Craurococcus,
OTU16579,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas,
OTU16578,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU16584,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:Parachlamydiaceae,,
OTU16582,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU16585,k:Bacteria,,,,,,
OTU16583,k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Marinilabiaceae,,
OTU16588,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU16586,k:Bacteria,p:Armatimonadetes,c:Chthonomonadetes,o:Chthonomonadales,f:Chthonomonadaceae,g:Chthonomonas,
OTU16587,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_6,,,
OTU16589,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,,,,
OTU16590,k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG-014,s:Clostridiales_bacterium_canine_oral_taxon_100
OTU16591,k:Bacteria,,,,,,
OTU16594,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:NKB5,,,
OTU16597,k:Bacteria,p:TM6,,,,,
OTU16593,k:Bacteria,p:Parcubacteria,,,,,
OTU16592,k:Bacteria,p:Chloroflexi,c:Chloroflexia,o:Chloroflexales,f:Roseiflexaceae,g:Roseiflexus,
OTU16595,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU16596,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Coxiella,
OTU16600,k:Bacteria,,,,,,
OTU16598,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Acidiphilium,
OTU16601,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae,g:SM1A02,
OTU16599,k:Bacteria,p:Parcubacteria,,,,,
OTU16605,k:Bacteria,p:SM2F11,,,,,
OTU16606,k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Asteroleplasma,
OTU16602,k:Bacteria,p:Cyanobacteria,c:Cyanobacteria,o:SubsectionIII,f:FamilyI,g:Leptolyngbya,
OTU16604,k:Bacteria,p:Armatimonadetes,,,,,
OTU16603,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Erythrobacteraceae,g:Altererythrobacter,
OTU16608,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:WD2101_soil_group,,,
OTU16607,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:NKB5,,,
OTU16610,k:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,,
OTU16611,k:Bacteria,,,,,,
OTU16609,k:Bacteria,,,,,,
OTU16613,k:Bacteria,,,,,,
OTU16612,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16615,k:Bacteria,p:Proteobacteria,c:TA18,,,,
OTU16614,k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella,
OTU16616,k:Bacteria,p:WCHB1-60,,,,,
OTU16618,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU16617,k:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Acidimicrobiales,,,
OTU16625,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU16619,k:Bacteria,p:Cyanobacteria,c:Chloroplast,o:Euglena_mutabilis,,,
OTU16620,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:mle1-27,,
OTU16621,k:Bacteria,p:Candidate_division_OP3,,,,,
OTU16622,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU16624,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Coxiella,
OTU16626,k:Bacteria,p:Proteobacteria,c:TA18,,,,
OTU16627,k:Bacteria,p:Cyanobacteria,c:Chloroplast,,,,
OTU16623,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU16631,k:Bacteria,p:Parcubacteria,,,,,
