out,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU6721,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6720,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,
OTU6719,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:S-70,,,
OTU6718,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Paenibacillaceae,,
OTU6722,k:Bacteria,p:TM6,,,,,
OTU6723,k:Bacteria,p:Verrucomicrobia,c:Verrucomicrobia_Incertae_Sedis,o:Unknown_Order,f:Unknown_Family,g:Candidatus_Methylacidiphilum,
OTU6724,k:Bacteria,p:Parcubacteria,,,,,
OTU6725,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6726,k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Asteroleplasma,
OTU6727,k:Bacteria,p:Cyanobacteria,c:Chloroplast,o:Leptosira_terrestris,,,
OTU6730,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU6729,k:Bacteria,p:Parcubacteria,,,,,
OTU6731,k:Bacteria,,,,,,
OTU6728,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU6733,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU6732,k:Bacteria,p:Armatimonadetes,c:Chthonomonadetes,o:Chthonomonadales,f:Chthonomonadaceae,g:Chthonomonas,
OTU6734,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales,f:Segniliparaceae,g:Segniliparus,s:Segniliparus_rotundus
OTU6735,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:cvE6,,
OTU6737,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,
OTU6736,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,,
OTU6738,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales,,,
OTU6740,k:Bacteria,p:Proteobacteria,c:TA18,,,,
OTU6739,k:Bacteria,p:Saccharibacteria,,,,,
OTU6742,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6741,k:Bacteria,p:Armatimonadetes,,,,,
OTU6743,k:Bacteria,p:Proteobacteria,c:TA18,,,,
OTU6746,k:Bacteria,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
OTU6744,k:Bacteria,p:Microgenomates,,,,,
OTU6745,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6748,k:Bacteria,,,,,,
OTU6747,k:Bacteria,p:Parcubacteria,,,,,
OTU6749,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,,
OTU6750,k:Bacteria,p:Parcubacteria,,,,,
OTU6751,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:BIrii41,,
OTU6752,k:Bacteria,p:Cyanobacteria,c:Cyanobacteria,o:SubsectionIII,f:FamilyI,g:Phormidium,
OTU6753,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6757,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU6755,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:WD2101_soil_group,,,
OTU6754,k:Bacteria,p:Chloroflexi,c:JG30-KF-CM66,,,,
OTU6756,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Paenibacillaceae,g:Paenibacillus,
OTU6759,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,,
OTU6760,k:Bacteria,p:Chloroflexi,c:TK10,,,,
OTU6758,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU6761,k:Bacteria,p:Cyanobacteria,c:Cyanobacteria,o:SubsectionIII,f:FamilyI,g:Phormidium,
OTU6762,k:Bacteria,p:Actinobacteria,c:MB-A2-108,,,,
OTU6766,k:Bacteria,,,,,,
OTU6764,k:Bacteria,p:Parcubacteria,,,,,
OTU6765,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6763,k:Bacteria,p:Chloroflexi,c:Ktedonobacteria,o:C0119,,,
OTU6767,k:Bacteria,p:Chloroflexi,c:KD4-96,,,,
OTU6768,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6769,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Magnetospirillum,
OTU6770,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,,,,
OTU6771,k:Bacteria,p:Armatimonadetes,,,,,
OTU6773,k:Bacteria,p:Chloroflexi,c:Ktedonobacteria,o:C0119,,,
OTU6775,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,
OTU6772,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
OTU6776,k:Bacteria,p:Actinobacteria,c:MB-A2-108,,,,
OTU6778,k:Bacteria,p:Armatimonadetes,,,,,
OTU6774,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU6777,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:cvE6,,
OTU6779,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU6780,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,,,,
OTU6781,k:Bacteria,p:SM2F11,,,,,
OTU6782,k:Bacteria,p:Saccharibacteria,,,,,
OTU6784,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:AT425-EubC11_terrestrial_group,,,
OTU6787,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:Chthoniobacteraceae,g:Chthoniobacter,
OTU6785,k:Bacteria,p:Microgenomates,,,,,
OTU6789,k:Bacteria,p:Hydrogenedentes,,,,,
OTU6786,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU6783,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Polyangiaceae,g:Sorangium,
OTU6788,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU6792,k:Bacteria,,,,,,
OTU6794,k:Bacteria,,,,,,
OTU6790,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:DB1-14,,,
OTU6791,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,,
OTU6795,k:Bacteria,p:Acidobacteria,c:Subgroup_22,,,,
OTU6798,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Pirellula,
OTU6796,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Rickettsiales_Incertae_Sedis,g:Candidatus_Captivus,
OTU6797,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Candidatus_Solibacter,
OTU6793,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiaceae,g:Candidatus_Glomeribacter,
OTU6799,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Neisseriales,f:Neisseriaceae,,
OTU6800,k:Bacteria,p:Verrucomicrobia,c:Verrucomicrobia_Incertae_Sedis,o:Unknown_Order,f:Unknown_Family,g:Candidatus_Methylacidiphilum,
OTU6801,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
