otu,lca_tax_slv
OTU9495,Unclassified;
OTU9496,Unclassified;
OTU9497,Unclassified;
OTU9502,Unclassified;
OTU9507,Unclassified;
OTU9521,Unclassified;
OTU9530,Unclassified;
OTU9543,Unclassified;
OTU9552,Bacteria;Patescibacteria;Parcubacteria;Candidatus Yanofskybacteria;
OTU9554,Unclassified;
OTU9569,Unclassified;
OTU9572,Bacteria;Patescibacteria;Berkelbacteria;
OTU9573,Bacteria;Patescibacteria;Berkelbacteria;
OTU9575,Unclassified;
OTU9576,Bacteria;Patescibacteria;Gracilibacteria;
OTU9579,Unclassified;
OTU9585,Unclassified;
OTU9606,Unclassified;
OTU9608,Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;
OTU9616,Unclassified;
OTU9621,Unclassified;
OTU9633,Bacteria;Acidobacteria;Subgroup 6;
OTU9642,Unclassified;
OTU9654,Unclassified;
OTU9656,Unclassified;
OTU9663,Unclassified;
OTU9667,Unclassified;
OTU9674,Unclassified;
OTU9681,Unclassified;
OTU9685,Unclassified;
OTU9688,Unclassified;
OTU9695,Unclassified;
OTU9705,Unclassified;
OTU9707,Unclassified;
OTU9727,Unclassified;
OTU9734,Unclassified;
OTU9740,Unclassified;
OTU9757,Unclassified;
OTU9762,Unclassified;
OTU9763,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;
OTU9767,Unclassified;
OTU9777,Unclassified;
OTU9782,Bacteria;Actinobacteria;Thermoleophilia;
OTU9793,Unclassified;
OTU9798,Unclassified;
OTU9800,Unclassified;
OTU9802,Unclassified;
OTU9826,Unclassified;
OTU9830,Bacteria;Patescibacteria;Parcubacteria;
OTU9831,Unclassified;
OTU9841,Unclassified;
OTU9843,Unclassified;
OTU9844,Unclassified;
OTU9847,Unclassified;
OTU9853,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Candidatus Neoehrlichia;
OTU9860,Unclassified;
OTU9869,Unclassified;
OTU9873,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU9887,Unclassified;
OTU9890,Bacteria;Patescibacteria;uncultured;
OTU9903,Unclassified;
OTU9916,Unclassified;
OTU9922,Bacteria;Omnitrophicaeota;
OTU9926,Bacteria;Acidobacteria;Subgroup 25;
OTU9929,Unclassified;
OTU9935,Unclassified;
OTU9942,Unclassified;
OTU9943,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;uncultured;
OTU9945,Unclassified;
OTU9990,Unclassified;
OTU10002,Unclassified;
OTU10006,Unclassified;
OTU10010,Unclassified;
OTU10038,Unclassified;
OTU10042,Unclassified;
OTU10051,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;
OTU10056,Unclassified;
OTU10059,Unclassified;
OTU10062,Unclassified;
OTU10063,Unclassified;
OTU10070,Unclassified;
OTU10083,Unclassified;
OTU10085,Unclassified;
OTU10093,Unclassified;
OTU10106,Unclassified;
OTU10152,Unclassified;
OTU10158,Bacteria;Patescibacteria;Berkelbacteria;
OTU10171,Unclassified;
OTU10196,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;cvE6;
OTU10197,Unclassified;
OTU10201,Unclassified;
OTU10202,Unclassified;
OTU10249,Unclassified;
OTU10253,Unclassified;
OTU10264,Unclassified;
OTU10268,Unclassified;
OTU10293,Unclassified;
OTU10294,Unclassified;
OTU10301,Unclassified;
OTU10320,Unclassified;
OTU10322,Unclassified;
OTU10324,Unclassified;
OTU10328,Unclassified;
OTU10350,Bacteria;Proteobacteria;Gammaproteobacteria;
OTU10367,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;
OTU10373,Unclassified;
OTU10387,Unclassified;
OTU10401,Unclassified;
OTU10407,Unclassified;
OTU10424,Unclassified;
OTU10427,Bacteria;Chloroflexi;AD3;
OTU10439,Unclassified;
OTU10447,Unclassified;
OTU10469,Unclassified;
OTU10472,Unclassified;
OTU10476,Unclassified;
OTU10485,Unclassified;
OTU10486,Unclassified;
OTU10492,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Candidatus Ovatusbacter;
OTU10513,Unclassified;
OTU10525,Unclassified;
OTU10534,Unclassified;
OTU10542,Unclassified;
OTU10543,Bacteria;Proteobacteria;
OTU10549,Unclassified;
OTU10563,Unclassified;
OTU10567,Unclassified;
OTU10573,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU10582,Unclassified;
OTU10587,Bacteria;Armatimonadetes;uncultured;
OTU10599,Unclassified;
OTU10603,Unclassified;
OTU10616,Unclassified;
OTU10620,Bacteria;Armatimonadetes;uncultured;
OTU10623,Unclassified;
OTU10624,Unclassified;
OTU10629,Unclassified;
OTU10631,Unclassified;
OTU10632,Bacteria;FCPU426;
OTU10640,Unclassified;
OTU10657,Unclassified;
OTU10664,Unclassified;
OTU10674,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU10689,Unclassified;
OTU10698,Bacteria;Chloroflexi;Chloroflexia;Elev-1554;
OTU10704,Unclassified;
OTU10718,Unclassified;
OTU10746,Bacteria;Omnitrophicaeota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus;
OTU10747,Unclassified;
OTU10748,Bacteria;Patescibacteria;Microgenomatia;Candidatus Woesebacteria;
OTU10749,Unclassified;
OTU10770,Unclassified;
OTU10777,Unclassified;
OTU10779,Unclassified;
OTU10790,Bacteria;Margulisbacteria;
OTU10792,Unclassified;
OTU10803,Unclassified;
OTU10806,Unclassified;
OTU10812,Unclassified;
OTU10833,Unclassified;
OTU10845,Unclassified;
OTU10850,Unclassified;
OTU10857,Unclassified;
OTU10868,Unclassified;
OTU10881,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;cvE6;
OTU10899,Unclassified;
OTU10902,Unclassified;
OTU10907,Unclassified;
OTU10912,Unclassified;
OTU10921,Unclassified;
OTU10926,Unclassified;
OTU10931,Unclassified;
OTU10934,Unclassified;
OTU10947,Bacteria;Planctomycetes;Planctomycetacia;uncultured;
OTU10952,Unclassified;
OTU10965,Unclassified;
OTU10970,Unclassified;
OTU10973,Unclassified;
OTU10977,Bacteria;Patescibacteria;Microgenomatia;Candidatus Woesebacteria;
OTU10982,Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae;
OTU10984,Unclassified;
OTU10988,Unclassified;
OTU10989,Bacteria;Proteobacteria;
OTU10990,Bacteria;Actinobacteria;Actinobacteria;
OTU10994,Unclassified;
OTU11018,Unclassified;
OTU11024,Unclassified;
OTU11029,Unclassified;
OTU11031,Bacteria;
OTU11034,Unclassified;
OTU11051,Bacteria;Actinobacteria;Acidimicrobiia;IMCC26256;
OTU11070,Unclassified;
OTU11087,Unclassified;
OTU11089,Bacteria;Proteobacteria;Alphaproteobacteria;
OTU11096,Unclassified;
OTU11098,Unclassified;
OTU11109,Unclassified;
OTU11122,Unclassified;
OTU11125,Unclassified;
OTU11127,Unclassified;
OTU11139,Unclassified;
OTU11141,Unclassified;
OTU11151,Unclassified;
OTU11157,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU11163,Unclassified;
OTU11166,Unclassified;
OTU11172,Unclassified;
OTU11195,Unclassified;
OTU11196,Unclassified;
OTU11204,Unclassified;
OTU11206,Unclassified;
OTU11210,Unclassified;
OTU11212,Unclassified;
OTU11213,Unclassified;
OTU11216,Unclassified;
OTU11222,Unclassified;
OTU11223,Bacteria;Patescibacteria;Parcubacteria;
OTU11235,Unclassified;
OTU11240,Unclassified;
OTU11252,Unclassified;
OTU11253,Unclassified;
OTU11276,Bacteria;BRC1;
OTU11279,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;uncultured;
OTU11280,Unclassified;
OTU11295,Unclassified;
OTU11296,Unclassified;
OTU11306,Bacteria;Patescibacteria;uncultured;
OTU11315,Unclassified;
OTU11323,Unclassified;
OTU11328,Unclassified;
OTU11329,Unclassified;
OTU11340,Unclassified;
OTU11343,Unclassified;
OTU11347,Unclassified;
OTU11354,Unclassified;
OTU11365,Unclassified;
OTU11378,Unclassified;
OTU11383,Unclassified;
OTU11385,Unclassified;
OTU11386,Unclassified;
OTU11394,Unclassified;
OTU11395,Unclassified;
OTU11403,Unclassified;
OTU11405,Unclassified;
OTU11407,Unclassified;
OTU11417,Unclassified;
OTU11424,Unclassified;
OTU11433,Unclassified;
OTU11439,Unclassified;
OTU11445,Unclassified;
OTU11455,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;uncultured;
OTU11457,Bacteria;Firmicutes;Clostridia;Clostridiales;
OTU11461,Unclassified;
OTU11473,Unclassified;
OTU11475,Unclassified;
OTU11479,Unclassified;
OTU11484,Bacteria;Chloroflexi;OLB14;
OTU11485,Unclassified;
OTU11486,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Algimonas;
OTU11488,Unclassified;
OTU11492,Unclassified;
OTU11503,Unclassified;
OTU11529,Unclassified;
OTU11538,Unclassified;
OTU11550,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;
OTU11555,Bacteria;Patescibacteria;Parcubacteria;
OTU11564,Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;
OTU11571,Unclassified;
OTU11576,Unclassified;
OTU11588,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU11598,Unclassified;
OTU11600,Unclassified;
OTU11603,Unclassified;
OTU11607,Unclassified;
OTU11622,Unclassified;
OTU11631,Unclassified;
OTU11648,Unclassified;
OTU11651,Unclassified;
OTU11654,Unclassified;
OTU11664,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Bulleribasidiaceae;Dioszegia;
OTU11667,Unclassified;
OTU11676,Unclassified;
OTU11695,Unclassified;
OTU11703,Unclassified;
OTU11705,Unclassified;
OTU11708,Unclassified;
OTU11716,Unclassified;
OTU11722,Unclassified;
OTU11730,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU11750,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;
OTU11753,Unclassified;
OTU11755,Unclassified;
OTU11765,Unclassified;
OTU11776,Bacteria;Patescibacteria;ABY1;Candidatus Kuenenbacteria;
OTU26824,Unclassified;
OTU26825,Unclassified;
OTU26833,Unclassified;
OTU26834,Unclassified;
OTU26840,Unclassified;
OTU26844,Unclassified;
OTU26846,Unclassified;
OTU26864,Unclassified;
OTU26872,Unclassified;
OTU26880,Bacteria;Patescibacteria;Parcubacteria;
OTU26885,Unclassified;
OTU26888,Unclassified;
OTU26889,Unclassified;
OTU26900,Unclassified;
OTU26901,Unclassified;
OTU26905,Unclassified;
OTU26911,Bacteria;Proteobacteria;
OTU26916,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU26919,Unclassified;
OTU26923,Unclassified;
OTU26931,Unclassified;
OTU26932,Unclassified;
OTU26934,Unclassified;
OTU26940,Unclassified;
OTU26943,Unclassified;
OTU26944,Unclassified;
OTU26946,Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae (Subgroup 1);uncultured;
OTU26952,Unclassified;
OTU26959,Unclassified;
OTU26964,Unclassified;
OTU26967,Unclassified;
OTU26969,Unclassified;
OTU26972,Unclassified;
OTU26973,Unclassified;
OTU26978,Unclassified;
OTU26979,Bacteria;Elusimicrobia;Elusimicrobia;Lineage IV;
OTU26980,Unclassified;
OTU26982,Unclassified;
OTU26997,Unclassified;
OTU27000,Unclassified;
OTU27004,Unclassified;
OTU27006,Unclassified;
OTU27010,Unclassified;
OTU27020,Unclassified;
OTU27022,Bacteria;
OTU27027,Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Candidatus Alysiosphaera;
OTU27029,Unclassified;
OTU27034,Unclassified;
OTU27037,Unclassified;
OTU27047,Bacteria;Proteobacteria;
OTU27048,Unclassified;
OTU27055,Unclassified;
OTU27057,Unclassified;
OTU27069,Unclassified;
OTU27073,Unclassified;
OTU27074,Unclassified;
OTU27075,Unclassified;
OTU27076,Unclassified;
OTU27081,Unclassified;
OTU27082,Unclassified;
OTU27085,Bacteria;Acidobacteria;Subgroup 22;
OTU27087,Unclassified;
OTU27102,Unclassified;
OTU27104,Unclassified;
OTU27107,Unclassified;
OTU27108,Unclassified;
OTU27109,Unclassified;
OTU27110,Unclassified;
OTU27116,Unclassified;
OTU27119,Unclassified;
OTU27121,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU27123,Unclassified;
OTU27132,Unclassified;
OTU27141,Unclassified;
OTU27144,Unclassified;
OTU27154,Unclassified;
OTU27161,Unclassified;
OTU27162,Unclassified;
OTU27163,Unclassified;
OTU27164,Unclassified;
OTU27166,Unclassified;
OTU27167,Bacteria;Patescibacteria;Microgenomatia;Candidatus Amesbacteria;
OTU27170,Unclassified;
OTU27174,Unclassified;
OTU27181,Unclassified;
OTU27191,Unclassified;
OTU27194,Unclassified;
OTU27198,Unclassified;
OTU27202,Unclassified;
OTU27207,Unclassified;
OTU27209,Bacteria;
OTU27220,Unclassified;
OTU27222,Unclassified;
OTU27223,Unclassified;
OTU27227,Unclassified;
OTU27229,Unclassified;
OTU27241,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU27244,Unclassified;
OTU27248,Bacteria;Bacteroidetes;Ignavibacteria;
OTU27250,Unclassified;
OTU27251,Unclassified;
OTU27258,Unclassified;
OTU27259,Bacteria;Armatimonadetes;uncultured;
OTU27263,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;
OTU27277,Unclassified;
OTU27278,Unclassified;
OTU27282,Unclassified;
OTU27288,Unclassified;
OTU27302,Unclassified;
OTU27322,Unclassified;
OTU27324,Unclassified;
OTU27326,Unclassified;
OTU27332,Unclassified;
OTU27337,Unclassified;
OTU27344,Unclassified;
OTU27354,Unclassified;
OTU27358,Unclassified;
OTU27370,Unclassified;
OTU27372,Unclassified;
OTU27374,Unclassified;
OTU27380,Unclassified;
OTU27387,Unclassified;
OTU27391,Unclassified;
OTU27398,Unclassified;
OTU27401,Unclassified;
OTU27415,Unclassified;
OTU27417,Unclassified;
OTU27422,Unclassified;
OTU27429,Unclassified;
OTU27434,Unclassified;
OTU27435,Unclassified;
OTU27436,Unclassified;
OTU27437,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU27452,Unclassified;
OTU27458,Unclassified;
OTU27467,Unclassified;
OTU27468,Unclassified;
OTU27469,Unclassified;
OTU27474,Unclassified;
OTU27475,Unclassified;
OTU27482,Bacteria;Chloroflexi;
OTU27484,Unclassified;
OTU27485,Unclassified;
OTU27487,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;
OTU27498,Bacteria;Armatimonadetes;uncultured;
OTU27511,Unclassified;
OTU27513,Unclassified;
OTU27515,Unclassified;
OTU27532,Unclassified;
OTU27541,Unclassified;
OTU27543,Unclassified;
OTU27548,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU27551,Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;
OTU27557,Unclassified;
OTU27558,Unclassified;
OTU27562,Unclassified;
OTU27563,Bacteria;Patescibacteria;Microgenomatia;Candidatus Roizmanbacteria;
OTU27575,Unclassified;
OTU27578,Unclassified;
OTU27584,Unclassified;
OTU27598,Unclassified;
OTU27601,Unclassified;
OTU27604,Unclassified;
OTU27608,Unclassified;
OTU27612,Unclassified;
OTU27618,Bacteria;Patescibacteria;Berkelbacteria;
OTU27622,Unclassified;
OTU27643,Unclassified;
OTU27644,Unclassified;
OTU27645,Unclassified;
OTU27648,Bacteria;
OTU27656,Bacteria;
OTU27664,Unclassified;
OTU27667,Unclassified;
OTU27672,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU27677,Unclassified;
OTU27685,Unclassified;
OTU27695,Unclassified;
OTU27696,Unclassified;
OTU27702,Unclassified;
OTU27705,Unclassified;
OTU27707,Unclassified;
OTU27720,Unclassified;
OTU27721,Unclassified;
OTU27734,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Agaricostilbomycetes;Agaricostilbales;Kondoaceae;Kondoa;
OTU27741,Unclassified;
OTU27743,Unclassified;
OTU27745,Unclassified;
OTU27748,Unclassified;
OTU27754,Unclassified;
OTU27761,Unclassified;
OTU27764,Unclassified;
OTU27765,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
OTU27770,Unclassified;
OTU27772,Unclassified;
OTU27774,Unclassified;
OTU27778,Unclassified;
OTU27785,Unclassified;
OTU27787,Unclassified;
OTU27788,Unclassified;
OTU27790,Unclassified;
OTU27796,Unclassified;
OTU27798,Bacteria;Armatimonadetes;
OTU27812,Unclassified;
OTU27817,Unclassified;
OTU27819,Unclassified;
OTU27821,Unclassified;
OTU27825,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;
OTU27832,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
OTU27834,Unclassified;
OTU27839,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU27841,Unclassified;
OTU27849,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;
OTU27855,Unclassified;
OTU27857,Unclassified;
OTU27860,Unclassified;
OTU27861,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;bacteriap25;
OTU27863,Unclassified;
OTU27867,Unclassified;
OTU27870,Unclassified;
OTU27885,Unclassified;
OTU27900,Unclassified;
OTU27906,Unclassified;
OTU27909,Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;
OTU27921,Unclassified;
OTU27933,Unclassified;
OTU27948,Bacteria;Patescibacteria;Parcubacteria;
OTU27949,Unclassified;
OTU27950,Unclassified;
OTU27952,Unclassified;
OTU27953,Unclassified;
OTU27956,Unclassified;
OTU27957,Unclassified;
OTU27959,Unclassified;
OTU27961,Unclassified;
OTU27963,Unclassified;
OTU27965,Bacteria;
OTU27966,Unclassified;
OTU27967,Unclassified;
OTU27970,Unclassified;
OTU27972,Unclassified;
OTU27980,Bacteria;Proteobacteria;Gammaproteobacteria;
OTU27988,Unclassified;
OTU27989,Bacteria;Patescibacteria;ABY1;Candidatus Magasanikbacteria;
OTU27990,Unclassified;
OTU27996,Unclassified;
OTU28012,Unclassified;
OTU28013,Unclassified;
OTU28014,Unclassified;
OTU28020,Unclassified;
OTU28021,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU28027,Unclassified;
OTU28031,Unclassified;
OTU28032,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU28039,Unclassified;
OTU28047,Bacteria;BRC1;
OTU28053,Unclassified;
OTU28058,Unclassified;
OTU28059,Unclassified;
OTU28063,Unclassified;
OTU28069,Unclassified;
OTU28084,Unclassified;
OTU28087,Unclassified;
OTU28102,Unclassified;
OTU28107,Unclassified;
OTU28108,Unclassified;
OTU28112,Unclassified;
OTU28114,Unclassified;
OTU28117,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;
OTU28120,Unclassified;
OTU28126,Unclassified;
OTU28129,Unclassified;
OTU28130,Unclassified;
OTU28131,Unclassified;
OTU28134,Unclassified;
OTU28137,Bacteria;
OTU28140,Unclassified;
OTU28144,Unclassified;
OTU28149,Unclassified;
OTU28152,Unclassified;
OTU28154,Unclassified;
OTU28162,Unclassified;
OTU28165,Unclassified;
OTU28166,Unclassified;
OTU28171,Unclassified;
OTU28172,Unclassified;
OTU28178,Unclassified;
OTU28180,Unclassified;
OTU28182,Unclassified;
OTU28194,Unclassified;
OTU28197,Unclassified;
OTU28199,Unclassified;
OTU28211,Unclassified;
OTU28215,Unclassified;
OTU28216,Unclassified;
OTU28229,Unclassified;
OTU28232,Unclassified;
OTU28234,Unclassified;
OTU28235,Unclassified;
OTU28238,Unclassified;
OTU28239,Unclassified;
OTU28240,Unclassified;
OTU28241,Unclassified;
OTU28246,Unclassified;
OTU28252,Unclassified;
OTU28259,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU28261,Unclassified;
OTU28281,Unclassified;
OTU28283,Unclassified;
OTU28296,Unclassified;
OTU28303,Unclassified;
OTU28305,Unclassified;
OTU28308,Unclassified;
OTU28309,Unclassified;
OTU28313,Unclassified;
OTU28315,Unclassified;
OTU28316,Unclassified;
OTU28318,Unclassified;
OTU28321,Unclassified;
OTU28324,Unclassified;
OTU28327,Unclassified;
OTU28338,Unclassified;
OTU28343,Unclassified;
OTU28345,Unclassified;
OTU28346,Unclassified;
OTU28350,Bacteria;Patescibacteria;Microgenomatia;Candidatus Amesbacteria;
OTU28352,Unclassified;
OTU28355,Unclassified;
OTU28356,Unclassified;
OTU28357,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;
OTU28360,Unclassified;
OTU28363,Unclassified;
OTU28367,Unclassified;
OTU28368,Unclassified;
OTU28370,Unclassified;
OTU28373,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;
OTU28377,Unclassified;
OTU28389,Unclassified;
OTU28410,Unclassified;
OTU28413,Unclassified;
OTU28417,Unclassified;
OTU28421,Unclassified;
OTU28423,Unclassified;
OTU28425,Unclassified;
OTU28434,Unclassified;
OTU28436,Unclassified;
OTU28451,Unclassified;
OTU28456,Bacteria;Proteobacteria;
OTU28459,Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;
OTU28466,Unclassified;
OTU28487,Unclassified;
OTU28502,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;uncultured;
OTU28506,Unclassified;
OTU28515,Unclassified;
OTU28516,Bacteria;Patescibacteria;WS6 (Dojkabacteria);
OTU28524,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;
OTU28529,Unclassified;
OTU28530,Unclassified;
OTU28531,Unclassified;
OTU28538,Unclassified;
OTU28539,Unclassified;
OTU28550,Unclassified;
OTU28551,Unclassified;
OTU28570,Unclassified;
OTU28579,Unclassified;
OTU28584,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;uncultured;
OTU28585,Unclassified;
OTU28588,Unclassified;
OTU28591,Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured;
OTU28594,Unclassified;
OTU28597,Unclassified;
OTU28600,Unclassified;
OTU28601,Unclassified;
OTU28603,Unclassified;
OTU28617,Unclassified;
OTU28619,Unclassified;
OTU28621,Unclassified;
OTU28623,Unclassified;
OTU28635,Unclassified;
OTU28645,Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;uncultured;
OTU28648,Unclassified;
OTU28653,Unclassified;
OTU28654,Unclassified;
OTU28655,Unclassified;
OTU28662,Unclassified;
OTU28667,Unclassified;
OTU28673,Unclassified;
OTU28676,Unclassified;
OTU28679,Unclassified;
OTU28681,Unclassified;
OTU28682,Unclassified;
OTU28690,Unclassified;
OTU28692,Unclassified;
OTU28699,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;
OTU28709,Unclassified;
OTU28710,Unclassified;
OTU28711,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;
OTU28726,Unclassified;
OTU28727,Unclassified;
OTU28733,Unclassified;
OTU28736,Unclassified;
OTU28746,Unclassified;
OTU28748,Unclassified;
OTU28749,Unclassified;
OTU28750,Unclassified;
OTU28755,Unclassified;
OTU28756,Unclassified;
OTU28758,Unclassified;
OTU28769,Bacteria;Patescibacteria;ABY1;Candidatus Kerfeldbacteria;
OTU28774,Unclassified;
OTU28775,Unclassified;
OTU28779,Unclassified;
OTU28784,Unclassified;
OTU28787,Unclassified;
OTU28791,Unclassified;
OTU28796,Unclassified;
OTU28802,Unclassified;
OTU28812,Unclassified;
OTU28832,Unclassified;
OTU28845,Unclassified;
OTU28846,Unclassified;
OTU28847,Unclassified;
OTU28848,Unclassified;
OTU28851,Unclassified;
OTU28853,Unclassified;
OTU28862,Unclassified;
OTU28872,Unclassified;
OTU28911,Unclassified;
OTU28914,Unclassified;
OTU28916,Unclassified;
OTU28918,Unclassified;
OTU28919,Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;Ellin6067;
OTU28920,Unclassified;
OTU28922,Unclassified;
OTU28924,Unclassified;
OTU28927,Unclassified;
OTU28942,Unclassified;
OTU28959,Unclassified;
OTU28961,Unclassified;
OTU28969,Unclassified;
OTU28972,Unclassified;
OTU28979,Unclassified;
OTU28982,Unclassified;
OTU28984,Unclassified;
OTU28990,Bacteria;Patescibacteria;Kazania;
OTU28995,Unclassified;
OTU29000,Bacteria;
OTU29009,Unclassified;
OTU29014,Unclassified;
OTU29028,Unclassified;
OTU29029,Unclassified;
OTU29033,Unclassified;
OTU29035,Unclassified;
OTU29046,Unclassified;
OTU29049,Unclassified;
OTU29053,Unclassified;
OTU29062,Unclassified;
OTU29063,Unclassified;
OTU29066,Unclassified;
OTU29074,Unclassified;
OTU29076,Unclassified;
OTU29079,Unclassified;
OTU29080,Unclassified;
OTU29081,Unclassified;
OTU29082,Unclassified;
OTU29092,Bacteria;GAL15;
OTU29094,Unclassified;
OTU29095,Unclassified;
OTU29098,Bacteria;Planctomycetes;OM190;
OTU29102,Unclassified;
OTU29103,Unclassified;
OTU29114,Unclassified;
OTU29116,Unclassified;
OTU29119,Bacteria;Patescibacteria;Kazania;
OTU29125,Unclassified;
OTU29128,Unclassified;
OTU29133,Unclassified;
OTU29136,Unclassified;
OTU29139,Unclassified;
OTU29141,Unclassified;
OTU29150,Unclassified;
OTU29152,Unclassified;
OTU29155,Unclassified;
OTU29158,Unclassified;
OTU29166,Bacteria;
OTU29170,Unclassified;
OTU29176,Unclassified;
OTU29184,Unclassified;
OTU29186,Unclassified;
OTU29200,Unclassified;
OTU29208,Unclassified;
OTU29209,Unclassified;
OTU29221,Unclassified;
OTU29229,Unclassified;
OTU29230,Unclassified;
OTU29235,Unclassified;
OTU29236,Unclassified;
OTU29242,Unclassified;
OTU29250,Unclassified;
OTU29253,Unclassified;
OTU29254,Unclassified;
OTU29256,Unclassified;
OTU29257,Unclassified;
OTU29259,Unclassified;
OTU29260,Unclassified;
OTU29268,Unclassified;
OTU29272,Bacteria;Proteobacteria;Gammaproteobacteria;
OTU29274,Unclassified;
OTU29279,Unclassified;
OTU29283,Unclassified;
OTU29286,Unclassified;
OTU29289,Unclassified;
OTU29293,Bacteria;Proteobacteria;Gammaproteobacteria;
OTU29296,Unclassified;
OTU29303,Unclassified;
OTU29306,Unclassified;
OTU29307,Unclassified;
OTU29316,Unclassified;
OTU29322,Unclassified;
OTU29324,Unclassified;
OTU29328,Unclassified;
OTU29329,Unclassified;
OTU29342,Unclassified;
OTU29344,Unclassified;
OTU29345,Bacteria;WPS-2;
OTU29351,Unclassified;
OTU29354,Unclassified;
OTU29361,Unclassified;
OTU29365,Unclassified;
OTU29369,Unclassified;
OTU29375,Unclassified;
OTU29380,Unclassified;
OTU29385,Bacteria;Proteobacteria;
OTU29391,Unclassified;
OTU29394,Unclassified;
OTU29396,Unclassified;
OTU29399,Unclassified;
OTU29400,Unclassified;
OTU29402,Unclassified;
OTU29404,Unclassified;
OTU29414,Unclassified;
