X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU7	OTU6	-0.579945	-0.826999	-0.320182	2	1	8	1	0.152000	-0.691018	0.039274	-0.839301	0.009165	1	-0.376572	0.317823	-0.730552	0.039556	1	0.215221	0.123368	0.003928	0.373909	0.002635	1	13
OTU7	OTU15	-0.603095	-0.906731	-0.290539	1	1	9	0	0.107000	-0.562776	0.114667	-0.562776	0.114667	0	-0.644357	0.061033	-0.644357	0.061033	0	0.172929	0.208920	0.014579	0.132190	0.003419	1	14
OTU7	OTU995	-0.483354	-0.856438	-0.216455	1	2	8	-1	0.120000	-0.499222	0.171243	-0.586930	0.126124	-1	-0.485146	0.185577	-0.650602	0.080644	-1	0.182642	0.228337	0.015257	0.263195	0.004073	1	15
OTU7	OTU18	-0.657915	-0.983444	-0.305625	1	1	9	0	0.004000	-0.728183	0.026109	-0.728183	0.026109	0	-0.811723	0.007889	-0.811723	0.007889	0	0.033684	0.101069	0.005934	0.046751	0.000939	1	16
OTU7	OTU3994	0.201863	-0.570724	0.647867	2	3	7	-1	0.422000	-0.319298	0.402291	-0.319298	0.402291	0	-0.210084	0.587450	0.319277	0.440794	-1	0.427000	0.330650	0.028330	0.522178	0.014265	1	17
OTU7	OTU21	-0.649200	-0.930471	-0.343355	1	1	9	0	0.045000	-0.680099	0.043823	-0.680099	0.043823	0	-0.719672	0.028819	-0.719672	0.028819	0	0.105882	0.128263	0.008152	0.092221	0.002088	1	18
OTU7	OTU10	-0.643727	-0.959023	-0.319781	1	1	9	0	0.001000	-0.775036	0.014155	-0.775036	0.014155	0	-0.836827	0.004907	-0.836827	0.004907	0	0.017778	0.091132	0.005444	0.046751	0.000696	1	19
OTU7	OTU48	-0.367941	-0.630692	-0.175296	1	1	9	0	0.115000	-0.586222	0.097119	-0.586222	0.097119	0	-0.638350	0.064287	-0.638350	0.064287	0	0.178641	0.197530	0.013615	0.137145	0.003456	1	20
OTU7	OTU50	-0.402652	-0.711457	-0.207262	1	1	9	0	0.046000	-0.586525	0.096903	-0.586525	0.096903	0	-0.689418	0.039921	-0.689418	0.039921	0	0.106667	0.197530	0.013615	0.106455	0.002635	1	21
OTU7	OTU32	-0.050545	-0.654778	0.649816	3	3	6	0	0.739000	-0.160756	0.679482	0.381145	0.351549	-1	-0.142261	0.715032	0.203596	0.628675	-1	0.575072	0.416009	0.027042	0.555365	0.017835	1	22
OTU7	OTU1674	0.402011	0.195241	0.658653	1	1	9	0	0.051000	0.864656	0.002624	0.887443	0.003271	1	0.663884	0.051182	0.663884	0.051182	0	0.110270	0.028628	0.002133	0.124078	0.003102	1	23
OTU47	OTU23	0.471977	-0.121181	0.829657	1	1	9	0	0.285000	0.535687	0.137159	0.535687	0.137159	0	0.624023	0.072481	0.624023	0.072481	0	0.340299	0.221543	0.016073	0.144961	0.003717	2	3
OTU47	OTU2	0.357959	-0.656251	0.808449	2	1	8	1	0.098000	0.485483	0.185225	0.715977	0.045771	1	0.442653	0.232805	0.756323	0.029884	1	0.165053	0.236104	0.008272	0.313015	0.002119	2	4
OTU47	OTU22	-0.321569	-0.769177	0.464715	1	2	6	-1	0.447000	0.267792	0.486017	-0.449489	0.263846	-1	-0.227487	0.556091	-0.533343	0.173438	-1	0.440736	0.347155	0.022529	0.510945	0.007272	2	5
OTU47	OTU4	-0.550309	-0.909304	-0.219866	1	1	3	0	0.189000	-0.750253	0.019877	-0.750253	0.019877	0	-0.553317	0.122249	-0.590404	0.123342	-1	0.252000	0.097560	0.005777	0.210321	0.005710	2	6
OTU47	OTU2771	0.147988	-0.464715	0.664975	2	1	8	1	0.969000	0.344382	0.364121	0.367398	0.370609	1	0.150227	0.699657	0.382745	0.349360	1	0.625161	0.318938	0.027333	0.555320	0.011883	2	7
OTU47	OTU14	0.063519	-0.524576	0.634806	4	5	4	-1	0.948000	0.344985	0.363225	0.344985	0.363225	0	0.222255	0.565453	0.222255	0.565453	0	0.616585	0.318938	0.027333	0.511144	0.016462	2	8
OTU47	OTU41	-0.222672	-0.709337	0.488594	4	5	4	-1	0.985000	-0.131728	0.735497	-0.171615	0.684483	1	-0.145320	0.709116	-0.192785	0.647384	-1	0.628526	0.416710	0.042427	0.555365	0.018268	2	9
OTU47	OTU519	0.429837	-0.346737	0.799962	2	1	6	1	0.391000	0.291790	0.446146	0.512560	0.194007	1	0.162417	0.676314	0.564513	0.144910	1	0.408889	0.339329	0.019020	0.551790	0.006398	2	10
OTU47	OTU5	-0.524445	-0.958146	-0.172995	1	2	6	-1	0.041000	-0.523332	0.148216	-0.926466	0.000940	-1	-0.386298	0.304449	-0.603659	0.113050	-1	0.104127	0.225139	0.001567	0.363020	0.005307	2	11
OTU47	OTU430	-0.299366	-0.763022	0.519780	1	2	7	-1	0.427000	0.110367	0.777431	-0.370647	0.366062	-1	-0.055564	0.887097	-0.481963	0.226511	-1	0.427000	0.416710	0.027333	0.608765	0.008533	2	12
OTU47	OTU6	0.597646	0.236155	0.939294	1	1	9	0	0.161000	0.731860	0.024993	0.731860	0.024993	0	0.655468	0.055293	0.655468	0.055293	0	0.225965	0.099971	0.005877	0.128217	0.003262	2	13
OTU47	OTU15	0.585695	0.219876	0.956233	1	1	6	0	0.188000	0.437748	0.238637	0.753318	0.030927	-1	0.536292	0.136631	0.831386	0.010520	-1	0.252000	0.262495	0.006723	0.230230	0.001063	2	14
OTU47	OTU995	0.401264	-0.301004	0.848597	1	2	6	-1	0.356000	0.411367	0.271333	0.438428	0.277216	-1	0.484853	0.185882	0.587890	0.125352	-1	0.387483	0.276342	0.023141	0.263195	0.005763	2	15
OTU47	OTU18	0.587287	0.230186	0.934844	1	1	6	0	0.189000	0.502280	0.168217	0.789618	0.019761	-1	0.468191	0.203710	0.783189	0.021516	-1	0.252000	0.228337	0.005777	0.280979	0.001689	2	16
OTU47	OTU3994	0.289560	-0.485108	0.733758	4	5	4	-1	0.942000	0.311630	0.414311	0.366597	0.371732	-1	0.081208	0.835470	0.463553	0.247323	1	0.615184	0.335487	0.027333	0.596764	0.009110	2	17
OTU47	OTU21	0.557326	0.231044	0.888818	1	1	6	0	0.283000	0.439315	0.236765	0.706511	0.050105	-1	0.417116	0.264018	0.686797	0.059897	-1	0.340299	0.262495	0.008842	0.335262	0.003413	2	18
OTU47	OTU10	0.570574	0.235240	0.891696	1	1	3	0	0.202000	0.630309	0.068810	0.911453	0.001622	-1	0.485216	0.185503	0.843435	0.008503	-1	0.262764	0.179504	0.001623	0.263195	0.000978	2	19
OTU47	OTU48	0.407895	0.182649	0.695966	1	2	8	-1	0.039000	0.372494	0.323517	0.853123	0.007074	-1	0.502169	0.168326	0.921229	0.001151	-1	0.103226	0.297303	0.003423	0.263195	0.000274	2	20
