X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU537	OTU21	-0.050808	-0.569804	0.410730	5	4	1	1	0.972000	-0.288114	0.530928	-0.288114	0.530928	0	-0.046296	0.921489	0.134343	0.799697	-1	0.864000	0.577881	0.017099	0.581119	0.027695	12	21
OTU537	OTU10	-0.412835	-1.142691	0.485929	4	4	4	0	0.286000	-0.430046	0.335524	-0.551342	0.256785	1	-0.654234	0.110875	-0.654234	0.110875	0	0.589691	0.516191	0.010767	0.288398	0.007581	12	22
OTU90	OTU4223	-0.212934	-0.713571	0.444702	1	2	6	-1	0.349000	-0.381291	0.398709	-0.649747	0.162532	1	-0.165145	0.723449	-0.661765	0.152257	1	0.634545	0.539131	0.008465	0.529275	0.008891	13	14
OTU90	OTU41	0.323754	-0.255504	0.810629	6	5	2	1	0.854000	0.512316	0.239758	0.552855	0.255207	1	0.445455	0.316513	0.463817	0.354164	-1	0.831731	0.464626	0.010767	0.375523	0.014026	13	15
OTU90	OTU519	-0.205309	-0.690656	0.400165	3	3	3	0	0.775000	-0.317530	0.487704	-0.317530	0.487704	0	-0.073398	0.875732	0.264820	0.612055	-1	0.798969	0.557421	0.016373	0.567128	0.022056	13	16
OTU90	OTU5	-0.353507	-0.745638	-0.197658	1	2	6	-1	0.139000	-0.382938	0.396502	-0.709620	0.114238	1	-0.339464	0.456331	-0.811679	0.049858	-1	0.427027	0.539131	0.007540	0.425909	0.005781	13	17
OTU90	OTU430	0.400161	0.189044	0.852507	1	1	7	0	0.148000	0.701005	0.079297	0.893448	0.016425	-1	0.678928	0.093511	0.971008	0.001249	-1	0.427027	0.317186	0.004539	0.288398	0.000832	13	18
OTU90	OTU6	0.363651	-0.203548	0.807044	1	1	7	0	0.238000	0.615169	0.141474	0.866975	0.025367	1	0.576600	0.175382	0.753702	0.083523	1	0.523077	0.386172	0.004571	0.308915	0.006856	13	19
OTU90	OTU18	0.100437	-0.364878	0.513748	1	1	3	0	0.893000	-0.005506	0.990653	0.313393	0.545301	1	0.299183	0.514514	0.516100	0.294584	-1	0.848341	0.686724	0.017353	0.445511	0.012739	13	20
OTU90	OTU21	0.211190	-0.330590	0.606804	3	2	5	1	0.577000	-0.162866	0.727162	0.534685	0.274403	1	0.192669	0.678952	0.617647	0.191342	1	0.707059	0.649503	0.011223	0.511039	0.009631	13	21
